method,seed,episode,day,raw_dscr,dscr
TD3,739,1,57,4.912633812376744,2.456316906188372
TD3,739,1,58,3.7524131071293483,1.8762065535646741
TD3,739,1,59,97.23151171043294,48.61575585521647
TD3,739,1,60,95.4834226147387,47.74171130736935
TD3,739,1,61,1.670633174673013,0.8353165873365065
TD3,739,1,62,99.56981727949467,49.784908639747336
TD3,739,1,63,9.473280513400953,4.736640256700476
TD3,739,1,64,23.517310178159953,11.758655089079976
TD3,739,1,65,30.228151647383804,15.114075823691902
TD3,739,1,66,2.264170503585093,1.1320852517925466
TD3,739,1,67,2.2354749494734603,1.1177374747367301
TD3,739,1,68,38.45126510738198,19.22563255369099
TD3,739,1,69,65.42551203736976,32.71275601868488
TD3,739,1,70,93.16619452313503,46.58309726156752
TD3,739,1,71,2.4309240298387618,1.2154620149193809
TD3,739,1,72,40.73462235649547,20.367311178247736
TD3,739,1,73,2.1063559150786273,1.0531779575393136
TD3,739,1,74,111.96731729459826,55.98365864729913
TD3,739,1,75,77.12279859109833,38.561399295549165
TD3,739,1,76,2.2269157751858777,1.1134578875929388
TD3,739,1,77,143.81329853001785,71.90664926500892
TD3,739,1,78,20.248570501642405,10.124285250821202
TD3,739,1,79,2.231182429176256,1.115591214588128
TD3,739,1,80,105.68279676081374,52.84139838040687
TD3,739,1,81,2.2389175233525394,1.1194587616762697
TD3,739,1,82,150.29961636828645,75.14980818414323
TD3,739,1,83,107.30737551478848,53.65368775739424
TD3,739,1,84,35.055824061760035,17.527912030880017
TD3,739,1,85,2.5851668299429496,1.2925834149714748
TD3,739,1,86,1.6673782321106432,0.8336891160553216
TD3,739,1,87,118.18068833652008,59.09034416826004
TD3,739,1,88,134.69437652811737,67.34718826405869
TD3,739,1,89,82.01591328413284,41.00795664206642
TD3,739,1,90,4.042773149386058,2.021386574693029
TD3,739,1,91,2.435720996308059,1.2178604981540295
TD3,739,1,92,18.216951869276777,9.108475934638388
TD3,739,1,93,6.715592703450612,3.357796351725306
TD3,739,1,94,4.531576967790468,2.265788483895234
TD3,739,1,95,4.1033311742142535,2.0516655871071268
TD3,739,1,96,2.2352040861903486,1.1176020430951743
TD3,739,1,97,44.98313192346424,22.49156596173212
TD3,739,1,98,107.38742677275509,53.693713386377546
TD3,739,1,99,106.28462906093424,53.14231453046712
TD3,739,2,6,13.211218568665373,6.605609284332687
TD3,739,2,7,127.93013100436681,63.96506550218341
TD3,739,2,8,21.295414012738853,10.647707006369426
TD3,739,2,9,9.995242791669085,4.997621395834543
TD3,739,2,10,5.031996587030717,2.5159982935153584
TD3,739,2,11,2.361213516545966,1.180606758272983
TD3,739,2,12,4.48913176660867,2.244565883304335
TD3,739,2,13,7.372391901830991,3.6861959509154953
TD3,739,2,14,5.729639799709257,2.8648198998546284
TD3,739,2,15,4.2045686049283715,2.1022843024641857
TD3,739,2,16,4.687014973282226,2.343507486641113
TD3,739,2,17,4.021349015114496,2.010674507557248
TD3,739,2,18,3.424315148677125,1.7121575743385624
TD3,739,2,19,5.34448368194342,2.67224184097171
TD3,739,2,20,5.744903230934309,2.8724516154671544
TD3,739,2,21,4.452444922084901,2.2262224610424504
TD3,739,2,22,4.1597193646613455,2.0798596823306728
TD3,739,2,23,4.293380080817684,2.146690040408842
TD3,739,2,24,4.4916657064946035,2.2458328532473018
TD3,739,2,25,5.155447714464621,2.5777238572323107
TD3,739,2,26,5.505683622888492,2.752841811444246
TD3,739,2,27,5.321509952416057,2.6607549762080285
TD3,739,2,28,5.5898602743238035,2.7949301371619018
TD3,739,2,29,4.9581490258030545,2.4790745129015272
TD3,739,2,30,4.508843028451483,2.2544215142257413
TD3,739,2,31,5.403210854283697,2.7016054271418484
TD3,739,2,32,4.951653403127449,2.4758267015637245
TD3,739,2,33,6.148435320030633,3.0742176600153166
TD3,739,2,34,4.142323371192345,2.0711616855961723
TD3,739,2,35,118.44999999999999,59.224999999999994
TD3,739,2,36,3.170791000234718,1.585395500117359
TD3,739,2,37,152.46717687074835,76.23358843537417
TD3,739,2,38,2.120049588034426,1.060024794017213
TD3,739,2,39,279.5119348497613,139.75596742488065
TD3,739,2,40,23.248964497041417,11.624482248520708
TD3,739,2,41,2.7850729103242986,1.3925364551621493
TD3,739,2,42,137.69721787305792,68.84860893652896
TD3,739,2,43,143.40349504434008,71.70174752217004
TD3,739,2,44,2.155993185205096,1.077996592602548
TD3,739,2,45,243.54771241830068,121.77385620915034
TD3,739,2,46,2.6777962453664954,1.3388981226832477
TD3,739,2,47,173.55922795509017,86.77961397754508
TD3,739,2,48,167.58527760449158,83.79263880224579
TD3,739,2,49,160.44283555779398,80.22141777889699
TD3,739,2,50,2.21716030660353,1.108580153301765
TD3,739,2,51,1.4192724267852403,0.7096362133926202
TD3,739,2,52,163.1539113244846,81.5769556622423
TD3,739,2,53,184.68735942420153,92.34367971210077
TD3,739,2,54,148.18678317859096,74.09339158929548
TD3,739,2,55,144.3451630336876,72.1725815168438
TD3,739,2,56,2.275495786445981,1.1377478932229905
TD3,739,2,57,4.912633812376744,2.456316906188372
TD3,739,2,58,3.7524131071293483,1.8762065535646741
TD3,739,2,59,97.23151171043294,48.61575585521647
TD3,739,2,60,95.4834226147387,47.74171130736935
TD3,739,2,61,1.670633174673013,0.8353165873365065
TD3,739,2,62,99.56981727949467,49.784908639747336
TD3,739,2,63,9.473280513400953,4.736640256700476
TD3,739,2,64,23.517310178159953,11.758655089079976
TD3,739,2,65,30.228151647383804,15.114075823691902
TD3,739,2,66,2.264170503585093,1.1320852517925466
TD3,739,2,67,2.2354749494734603,1.1177374747367301
TD3,739,2,68,38.45126510738198,19.22563255369099
TD3,739,2,69,65.42551203736976,32.71275601868488
TD3,739,2,70,93.16619452313503,46.58309726156752
TD3,739,2,71,2.4309240298387618,1.2154620149193809
TD3,739,2,72,40.73462235649547,20.367311178247736
TD3,739,2,73,2.1063559150786273,1.0531779575393136
TD3,739,2,74,111.96731729459826,55.98365864729913
TD3,739,2,75,77.12279859109833,38.561399295549165
TD3,739,2,76,2.2269157751858777,1.1134578875929388
TD3,739,2,77,143.81329853001785,71.90664926500892
TD3,739,2,78,20.248570501642405,10.124285250821202
TD3,739,2,79,2.231182429176256,1.115591214588128
TD3,739,2,80,105.68279676081374,52.84139838040687
TD3,739,2,81,2.2389175233525394,1.1194587616762697
TD3,739,2,82,150.29961636828645,75.14980818414323
TD3,739,2,83,107.30737551478848,53.65368775739424
TD3,739,2,84,35.055824061760035,17.527912030880017
TD3,739,2,85,2.5851668299429496,1.2925834149714748
TD3,739,2,86,1.6673782321106432,0.8336891160553216
TD3,739,2,87,118.18068833652008,59.09034416826004
TD3,739,2,88,134.69437652811737,67.34718826405869
TD3,739,2,89,82.01591328413284,41.00795664206642
TD3,739,2,90,4.042773149386058,2.021386574693029
TD3,739,2,91,2.435720996308059,1.2178604981540295
TD3,739,2,92,18.216951869276777,9.108475934638388
TD3,739,2,93,6.715592703450612,3.357796351725306
TD3,739,2,94,4.531576967790468,2.265788483895234
TD3,739,2,95,4.1033311742142535,2.0516655871071268
TD3,739,2,96,2.2352040861903486,1.1176020430951743
TD3,739,2,97,44.98313192346424,22.49156596173212
TD3,739,2,98,107.38742677275509,53.693713386377546
TD3,739,2,99,106.28462906093424,53.14231453046712
TD3,739,3,6,13.211218568665373,6.605609284332687
TD3,739,3,7,127.93013100436681,63.96506550218341
TD3,739,3,8,21.295414012738853,10.647707006369426
TD3,739,3,9,9.995242791669085,4.997621395834543
TD3,739,3,10,5.031996587030717,2.5159982935153584
TD3,739,3,11,2.361213516545966,1.180606758272983
TD3,739,3,12,4.48913176660867,2.244565883304335
TD3,739,3,13,7.372391901830991,3.6861959509154953
TD3,739,3,14,5.729639799709257,2.8648198998546284
TD3,739,3,15,4.2045686049283715,2.1022843024641857
TD3,739,3,16,4.687014973282226,2.343507486641113
TD3,739,3,17,4.021349015114496,2.010674507557248
TD3,739,3,18,3.424315148677125,1.7121575743385624
TD3,739,3,19,5.34448368194342,2.67224184097171
TD3,739,3,20,5.744903230934309,2.8724516154671544
TD3,739,3,21,4.452444922084901,2.2262224610424504
TD3,739,3,22,4.1597193646613455,2.0798596823306728
TD3,739,3,23,4.293380080817684,2.146690040408842
TD3,739,3,24,4.4916657064946035,2.2458328532473018
TD3,739,3,25,5.155447714464621,2.5777238572323107
TD3,739,3,26,5.505683622888492,2.752841811444246
TD3,739,3,27,5.321509952416057,2.6607549762080285
TD3,739,3,28,5.5898602743238035,2.7949301371619018
TD3,739,3,29,4.9581490258030545,2.4790745129015272
TD3,739,3,30,4.508843028451483,2.2544215142257413
TD3,739,3,31,5.403210854283697,2.7016054271418484
TD3,739,3,32,4.951653403127449,2.4758267015637245
TD3,739,3,33,6.148435320030633,3.0742176600153166
TD3,739,3,34,4.142323371192345,2.0711616855961723
TD3,739,3,35,118.44999999999999,59.224999999999994
TD3,739,3,36,3.170791000234718,1.585395500117359
TD3,739,3,37,152.46717687074835,76.23358843537417
TD3,739,3,38,2.120049588034426,1.060024794017213
TD3,739,3,39,279.5119348497613,139.75596742488065
TD3,739,3,40,23.248964497041417,11.624482248520708
TD3,739,3,41,2.7850729103242986,1.3925364551621493
TD3,739,3,42,137.69721787305792,68.84860893652896
TD3,739,3,43,143.40349504434008,71.70174752217004
TD3,739,3,44,2.155993185205096,1.077996592602548
TD3,739,3,45,243.54771241830068,121.77385620915034
TD3,739,3,46,2.6777962453664954,1.3388981226832477
TD3,739,3,47,173.55922795509017,86.77961397754508
TD3,739,3,48,167.58527760449158,83.79263880224579
TD3,739,3,49,160.44283555779398,80.22141777889699
TD3,739,3,50,2.21716030660353,1.108580153301765
TD3,739,3,51,1.4192724267852403,0.7096362133926202
TD3,739,3,52,163.1539113244846,81.5769556622423
TD3,739,3,53,184.68735942420153,92.34367971210077
TD3,739,3,54,148.18678317859096,74.09339158929548
TD3,739,3,55,144.3451630336876,72.1725815168438
TD3,739,3,56,2.275495786445981,1.1377478932229905
TD3,739,3,57,4.912633812376744,2.456316906188372
TD3,739,3,58,3.7524131071293483,1.8762065535646741
TD3,739,3,59,97.23151171043294,48.61575585521647
TD3,739,3,60,95.4834226147387,47.74171130736935
TD3,739,3,61,1.670633174673013,0.8353165873365065
TD3,739,3,62,99.56981727949467,49.784908639747336
TD3,739,3,63,9.473280513400953,4.736640256700476
TD3,739,3,64,23.517310178159953,11.758655089079976
TD3,739,3,65,30.228151647383804,15.114075823691902
TD3,739,3,66,2.264170503585093,1.1320852517925466
TD3,739,3,67,2.2354749494734603,1.1177374747367301
TD3,739,3,68,38.45126510738198,19.22563255369099
TD3,739,3,69,65.42551203736976,32.71275601868488
TD3,739,3,70,93.16619452313503,46.58309726156752
TD3,739,3,71,2.4309240298387618,1.2154620149193809
TD3,739,3,72,40.73462235649547,20.367311178247736
TD3,739,3,73,2.1063559150786273,1.0531779575393136
TD3,739,3,74,111.96731729459826,55.98365864729913
TD3,739,3,75,77.12279859109833,38.561399295549165
TD3,739,3,76,2.2269157751858777,1.1134578875929388
TD3,739,3,77,143.81329853001785,71.90664926500892
TD3,739,3,78,20.248570501642405,10.124285250821202
TD3,739,3,79,2.231182429176256,1.115591214588128
TD3,739,3,80,105.68279676081374,52.84139838040687
TD3,739,3,81,2.2389175233525394,1.1194587616762697
TD3,739,3,82,150.29961636828645,75.14980818414323
TD3,739,3,83,107.30737551478848,53.65368775739424
TD3,739,3,84,35.055824061760035,17.527912030880017
TD3,739,3,85,2.5851668299429496,1.2925834149714748
TD3,739,3,86,1.6673782321106432,0.8336891160553216
TD3,739,3,87,118.18068833652008,59.09034416826004
TD3,739,3,88,134.69437652811737,67.34718826405869
TD3,739,3,89,82.01591328413284,41.00795664206642
TD3,739,3,90,4.042773149386058,2.021386574693029
TD3,739,3,91,2.435720996308059,1.2178604981540295
TD3,739,3,92,18.216951869276777,9.108475934638388
TD3,739,3,93,6.715592703450612,3.357796351725306
TD3,739,3,94,4.531576967790468,2.265788483895234
TD3,739,3,95,4.1033311742142535,2.0516655871071268
TD3,739,3,96,2.2352040861903486,1.1176020430951743
TD3,739,3,97,44.98313192346424,22.49156596173212
TD3,739,3,98,107.38742677275509,53.693713386377546
TD3,739,3,99,106.28462906093424,53.14231453046712
TD3,739,4,6,13.211218568665373,6.605609284332687
TD3,739,4,7,127.93013100436681,63.96506550218341
TD3,739,4,8,21.295414012738853,10.647707006369426
TD3,739,4,9,9.995242791669085,4.997621395834543
TD3,739,4,10,5.031996587030717,2.5159982935153584
TD3,739,4,11,2.361213516545966,1.180606758272983
TD3,739,4,12,4.48913176660867,2.244565883304335
TD3,739,4,13,7.372391901830991,3.6861959509154953
TD3,739,4,14,5.729639799709257,2.8648198998546284
TD3,739,4,15,4.2045686049283715,2.1022843024641857
TD3,739,4,16,4.687014973282226,2.343507486641113
TD3,739,4,17,4.021349015114496,2.010674507557248
TD3,739,4,18,3.424315148677125,1.7121575743385624
TD3,739,4,19,5.34448368194342,2.67224184097171
TD3,739,4,20,5.744903230934309,2.8724516154671544
TD3,739,4,21,4.452444922084901,2.2262224610424504
TD3,739,4,22,4.1597193646613455,2.0798596823306728
TD3,739,4,23,4.293380080817684,2.146690040408842
TD3,739,4,24,4.4916657064946035,2.2458328532473018
TD3,739,4,25,5.155447714464621,2.5777238572323107
TD3,739,4,26,5.505683622888492,2.752841811444246
TD3,739,4,27,5.321509952416057,2.6607549762080285
TD3,739,4,28,5.5898602743238035,2.7949301371619018
TD3,739,4,29,4.9581490258030545,2.4790745129015272
TD3,739,4,30,4.508843028451483,2.2544215142257413
TD3,739,4,31,5.403210854283697,2.7016054271418484
TD3,739,4,32,4.951653403127449,2.4758267015637245
TD3,739,4,33,6.148435320030633,3.0742176600153166
TD3,739,4,34,4.142323371192345,2.0711616855961723
TD3,739,4,35,118.44999999999999,59.224999999999994
TD3,739,4,36,3.170791000234718,1.585395500117359
TD3,739,4,37,152.46717687074835,76.23358843537417
TD3,739,4,38,2.120049588034426,1.060024794017213
TD3,739,4,39,279.5119348497613,139.75596742488065
TD3,739,4,40,23.248964497041417,11.624482248520708
TD3,739,4,41,2.7850729103242986,1.3925364551621493
TD3,739,4,42,137.69721787305792,68.84860893652896
TD3,739,4,43,143.40349504434008,71.70174752217004
TD3,739,4,44,2.155993185205096,1.077996592602548
TD3,739,4,45,243.54771241830068,121.77385620915034
TD3,739,4,46,2.6777962453664954,1.3388981226832477
TD3,739,4,47,173.55922795509017,86.77961397754508
TD3,739,4,48,167.58527760449158,83.79263880224579
TD3,739,4,49,160.44283555779398,80.22141777889699
TD3,739,4,50,2.21716030660353,1.108580153301765
TD3,739,4,51,1.4192724267852403,0.7096362133926202
TD3,739,4,52,163.1539113244846,81.5769556622423
TD3,739,4,53,184.68735942420153,92.34367971210077
TD3,739,4,54,148.18678317859096,74.09339158929548
TD3,739,4,55,144.3451630336876,72.1725815168438
TD3,739,4,56,2.275495786445981,1.1377478932229905
TD3,739,4,57,4.912633812376744,2.456316906188372
TD3,739,4,58,3.7524131071293483,1.8762065535646741
TD3,739,4,59,97.23151171043294,48.61575585521647
TD3,739,4,60,95.4834226147387,47.74171130736935
TD3,739,4,61,1.670633174673013,0.8353165873365065
TD3,739,4,62,99.56981727949467,49.784908639747336
TD3,739,4,63,9.473280513400953,4.736640256700476
TD3,739,4,64,23.517310178159953,11.758655089079976
TD3,739,4,65,30.228151647383804,15.114075823691902
TD3,739,4,66,2.264170503585093,1.1320852517925466
TD3,739,4,67,2.2354749494734603,1.1177374747367301
TD3,739,4,68,38.45126510738198,19.22563255369099
TD3,739,4,69,65.42551203736976,32.71275601868488
TD3,739,4,70,93.16619452313503,46.58309726156752
TD3,739,4,71,2.4309240298387618,1.2154620149193809
TD3,739,4,72,40.73462235649547,20.367311178247736
TD3,739,4,73,2.1063559150786273,1.0531779575393136
TD3,739,4,74,111.96731729459826,55.98365864729913
TD3,739,4,75,77.12279859109833,38.561399295549165
TD3,739,4,76,2.2269157751858777,1.1134578875929388
TD3,739,4,77,143.81329853001785,71.90664926500892
TD3,739,4,78,20.248570501642405,10.124285250821202
TD3,739,4,79,2.231182429176256,1.115591214588128
TD3,739,4,80,105.68279676081374,52.84139838040687
TD3,739,4,81,2.2389175233525394,1.1194587616762697
TD3,739,4,82,150.29961636828645,75.14980818414323
TD3,739,4,83,107.30737551478848,53.65368775739424
TD3,739,4,84,35.055824061760035,17.527912030880017
TD3,739,4,85,2.5851668299429496,1.2925834149714748
TD3,739,4,86,1.6673782321106432,0.8336891160553216
TD3,739,4,87,118.18068833652008,59.09034416826004
TD3,739,4,88,134.69437652811737,67.34718826405869
TD3,739,4,89,82.01591328413284,41.00795664206642
TD3,739,4,90,4.042773149386058,2.021386574693029
TD3,739,4,91,2.435720996308059,1.2178604981540295
TD3,739,4,92,18.216951869276777,9.108475934638388
TD3,739,4,93,6.715592703450612,3.357796351725306
TD3,739,4,94,4.531576967790468,2.265788483895234
TD3,739,4,95,4.1033311742142535,2.0516655871071268
TD3,739,4,96,2.2352040861903486,1.1176020430951743
TD3,739,4,97,44.98313192346424,22.49156596173212
TD3,739,4,98,107.38742677275509,53.693713386377546
TD3,739,4,99,106.28462906093424,53.14231453046712
TD3,739,5,6,13.211218568665373,6.605609284332687
TD3,739,5,7,127.93013100436681,63.96506550218341
TD3,739,5,8,21.295414012738853,10.647707006369426
TD3,739,5,9,9.995242791669085,4.997621395834543
TD3,739,5,10,5.031996587030717,2.5159982935153584
TD3,739,5,11,2.361213516545966,1.180606758272983
TD3,739,5,12,4.48913176660867,2.244565883304335
TD3,739,5,13,7.372391901830991,3.6861959509154953
TD3,739,5,14,5.729639799709257,2.8648198998546284
TD3,739,5,15,4.2045686049283715,2.1022843024641857
TD3,739,5,16,4.687014973282226,2.343507486641113
TD3,739,5,17,4.021349015114496,2.010674507557248
TD3,739,5,18,3.424315148677125,1.7121575743385624
TD3,739,5,19,5.34448368194342,2.67224184097171
TD3,739,5,20,5.744903230934309,2.8724516154671544
TD3,739,5,21,4.452444922084901,2.2262224610424504
TD3,739,5,22,4.1597193646613455,2.0798596823306728
TD3,739,5,23,4.293380080817684,2.146690040408842
TD3,739,5,24,4.4916657064946035,2.2458328532473018
TD3,739,5,25,5.155447714464621,2.5777238572323107
TD3,739,5,26,5.505683622888492,2.752841811444246
TD3,739,5,27,5.321509952416057,2.6607549762080285
TD3,739,5,28,5.5898602743238035,2.7949301371619018
TD3,739,5,29,4.9581490258030545,2.4790745129015272
TD3,739,5,30,4.508843028451483,2.2544215142257413
TD3,739,5,31,5.403210854283697,2.7016054271418484
TD3,739,5,32,4.951653403127449,2.4758267015637245
TD3,739,5,33,6.148435320030633,3.0742176600153166
TD3,739,5,34,4.142323371192345,2.0711616855961723
TD3,739,5,35,118.44999999999999,59.224999999999994
TD3,739,5,36,3.170791000234718,1.585395500117359
TD3,739,5,37,152.46717687074835,76.23358843537417
TD3,739,5,38,2.120049588034426,1.060024794017213
TD3,739,5,39,279.5119348497613,139.75596742488065
TD3,739,5,40,23.248964497041417,11.624482248520708
TD3,739,5,41,2.7850729103242986,1.3925364551621493
TD3,739,5,42,137.69721787305792,68.84860893652896
TD3,739,5,43,143.40349504434008,71.70174752217004
TD3,739,5,44,2.155993185205096,1.077996592602548
TD3,739,5,45,243.54771241830068,121.77385620915034
TD3,739,5,46,2.6777962453664954,1.3388981226832477
TD3,739,5,47,173.55922795509017,86.77961397754508
TD3,739,5,48,167.58527760449158,83.79263880224579
TD3,739,5,49,160.44283555779398,80.22141777889699
TD3,739,5,50,2.21716030660353,1.108580153301765
TD3,739,5,51,1.4192724267852403,0.7096362133926202
TD3,739,5,52,163.1539113244846,81.5769556622423
TD3,739,5,53,184.68735942420153,92.34367971210077
TD3,739,5,54,148.18678317859096,74.09339158929548
TD3,739,5,55,144.3451630336876,72.1725815168438
TD3,739,5,56,2.275495786445981,1.1377478932229905
TD3,739,5,57,4.912633812376744,2.456316906188372
TD3,739,5,58,3.7524131071293483,1.8762065535646741
TD3,739,5,59,97.23151171043294,48.61575585521647
TD3,739,5,60,95.4834226147387,47.74171130736935
